Condicao;Tempo_s;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
H;19.0;0.08994219931240721;-0.534133719433199;-0.16202350206243565;0.008537728609375073;0.3628847530831445;-0.26114927873350524;0.07078239994388724;-0.16369332692323724
H;19.1;0.10920377617949484;-0.5383501031415427;-0.14517183684458335;0.008583388523597968;0.3819698021297899;-0.26142848803313523;0.08802352777695077;-0.16240689503649275
H;19.2;0.12810122283846326;-0.5422371427122838;-0.12856419048161083;0.008616998192832348;0.4007003490032073;-0.26163909433197396;0.10481018939969822;-0.16118505424662555
H;19.3;0.14638101711438267;-0.5457699452263336;-0.11245685218932966;0.008625995779729223;0.41868724959837156;-0.2618128451095165;0.1208519104552579;-0.1600289448654113
H;19.4;0.1639588214895369;-0.5490714690239482;-0.09696578760696628;0.008590860562433633;0.43576779109348074;-0.2619653447627668;0.13602495817640214;-0.15895734854706234
H;19.5;0.18075165834815188;-0.5523132723794459;-0.0822175228095201;0.008481434835868384;0.45176169347362816;-0.2621176318327647;0.1501996818921434;-0.1579974637345094
H;19.6;0.1964834687240753;-0.5552888976993247;-0.0684332249205033;0.008336305972789226;0.46634070751159307;-0.2622768403314861;0.16310342682915469;-0.15710390623027504
H;19.7;0.21091047449089473;-0.5577399591437651;-0.05578830908515897;0.008210816745192417;0.4792523398312749;-0.262437554782184;0.1745095626407389;-0.15621859777227698
H;19.8;0.22372902763746794;-0.5594989419443275;-0.04454261701757467;0.00812515394610891;0.4900947553888235;-0.2626277304757654;0.18410749566034923;-0.15531502258404384
H;19.9;0.23465255316314249;-0.5603919877474146;-0.034937202288647384;0.008104972387677378;0.4985010601702857;-0.26286683590754834;0.1916090789152527;-0.15435916668546223
H;20.0;0.24379659713460633;-0.5604930163816162;-0.02688126260082413;0.008162499558495462;0.5046471469274705;-0.2631315326053798;0.19712234403481332;-0.15335250778694753
H;20.1;0.2513969403172087;-0.5599806050116891;-0.02019404465052954;0.008292188097654751;0.5088455074431097;-0.26340038885091843;0.20086657765222782;-0.1523245051921096
H;20.2;0.2576200137980038;-0.5588976433341806;-0.014722361546935403;0.008533712457125198;0.51139930693087;-0.2636076991801861;0.20302363381040855;-0.15123592382910633
H;20.3;0.2626903528064144;-0.5573173753495846;-0.010263866154184065;0.008925531574671908;0.5126912761516564;-0.263681867735829;0.2038340504525138;-0.15005193550967455
H;20.4;0.2667295896527513;-0.5553797218581762;-0.006742861243342446;0.009440781381254482;0.5128336393594148;-0.2636460964050027;0.2033976980688479;-0.14882655329383532
H;20.5;0.2698015903394566;-0.5531917689364683;-0.004130855198948069;0.010054314670056463;0.5118623293328914;-0.26352720550302067;0.20176105037491254;-0.1476053815046079
H;20.6;0.2721339492468502;-0.5509660069314899;-0.002268788031833502;0.01072989502684596;0.5100179358156991;-0.2633486774673752;0.19912236850785536;-0.14646316708290374
H;20.7;0.27394542429962954;-0.5489153185798861;-0.0010061542935959622;0.011426968687217709;0.5075216620468046;-0.2631400424163921;0.1956716063478714;-0.14547907322778109
H;20.8;0.2752930046236646;-0.5469976554757938;-0.00026806844582871747;0.012204967840171221;0.50456860026648;-0.2628150594387604;0.191508570545186;-0.14456406700042823
H;20.9;0.27622900832863273;-0.5451164958168615;3.4278376239704755e-05;0.013154552058137092;0.5014069374082553;-0.26224856119476847;0.18674674584117223;-0.14358203655214652
H;21.0;0.2767289884682089;-0.5432023101343386;-9.679351397462455e-05;0.01431684179249082;0.49808734881541117;-0.2613880349998974;0.18140496779718873;-0.14246399229617257
H;21.1;0.2767469376381335;-0.5411568314266937;-0.0006705140443976632;0.015742343162230554;0.4946501183856462;-0.2601699173438652;0.17548959220916593;-0.14112306640898176
H;21.2;0.2764577249755966;-0.5390089794375186;-0.0015186955398291957;0.01748386917336653;0.4914312431836043;-0.2585151903410212;0.16920153387308545;-0.13949825891798895
H;21.3;0.2760621010375708;-0.5368364938044037;-0.0024643481884627505;0.01956918131911678;0.48875230150548;-0.2563787923937433;0.1627510570066777;-0.1375717428337646
H;21.4;0.2757094856367974;-0.5346156297773366;-0.0033449058266104004;0.022075831856417594;0.4869675988244655;-0.2536432477624233;0.15633808423787343;-0.13523279973050428
H;21.5;0.27555685133392416;-0.5323370105139347;-0.003996187896254888;0.025071896133161964;0.4864204829073957;-0.2502076019281745;0.15016168452560663;-0.13238980246909637
H;21.6;0.2755858631011474;-0.5300468792690927;-0.0044508904873907795;0.028507656222156008;0.48699358997086595;-0.24614937614007015;0.1442010183380562;-0.12911844542219164
H;21.7;0.2756977937188996;-0.5277766641968995;-0.004816386664469263;0.03230928678449807;0.48842007440727286;-0.24157943320639053;0.1383568255010701;-0.12551642941049757
H;21.8;0.27591905017766116;-0.5256413740393038;-0.0051097064156824246;0.0363900976821947;0.49055541400667213;-0.23664386133302173;0.13261038952551463;-0.12174244550056912
H;21.9;0.2762536335981238;-0.5237648168205711;-0.005373537979314058;0.04064593314596454;0.49319195449837316;-0.23151486943063748;0.12691436719487026;-0.11797990690162408
H;22.0;0.27660565217012056;-0.5221079339066446;-0.005684511091723188;0.045055987436961153;0.4961778975578861;-0.22621234451553285;0.12121574087457887;-0.11422395760266557
H;22.1;0.27690656906649735;-0.5206222964701768;-0.006089363066841713;0.04961698046131602;0.4994286477157175;-0.2207318367807245;0.11549271975583686;-0.11044664532717174
H;22.2;0.2770028249190002;-0.5192673139188315;-0.00671997399915103;0.05428199409461243;0.5026729904039575;-0.21512827748322216;0.10963516405136708;-0.10667157291795437
H;22.3;0.2767369931363586;-0.5179915741154142;-0.007708177204116318;0.059010321228416984;0.5056469780939219;-0.20944574040497432;0.10353434117823301;-0.1029090702650457
H;22.4;0.27623041563886197;-0.5169230951111201;-0.008986633456588677;0.06373738992485656;0.5083553321055359;-0.20381388803932854;0.09724717441684394;-0.09931219690393256
H;22.5;0.27567379111077095;-0.5162532094641454;-0.010444755050809995;0.0683767293184907;0.5108398500791642;-0.1984093015513082;0.09086249249772216;-0.09609824339079154
H;22.6;0.2751850096527306;-0.5160591781197397;-0.011999655856814506;0.07290310622431484;0.5131795452452854;-0.19329301544560806;0.08446315054675324;-0.0933423520290031
H;22.7;0.2749118343467778;-0.5164336359618282;-0.013545979695368082;0.07729124897114925;0.5154867341561857;-0.18853134929463522;0.07815045786384722;-0.09113041886402407
H;22.8;0.2749166621599901;-0.5175070339004488;-0.01506980461848162;0.08144463956498793;0.5176475144699211;-0.1842913133030235;0.07193066629161127;-0.08964773937512671
H;22.9;0.2751988619931538;-0.5193626937345215;-0.016598811317749096;0.08527718096780301;0.5195001544790507;-0.1807093344237778;0.06577899515722496;-0.08903492988104311
H;23.0;0.27588702174409363;-0.5221773503121394;-0.018075956381621516;0.08868263522799769;0.5209798725562438;-0.17798453116123536;0.059728887821747456;-0.08952370084075678
H;23.1;0.27708599913492904;-0.5261089149173781;-0.019458203805514884;0.0915593188731183;0.522009146707596;-0.176300995863385;0.053805541012861724;-0.09132553242385466
H;23.2;0.2787232310625427;-0.5310507426629005;-0.020773485375338296;0.09394745962100526;0.5225893458540876;-0.17556822178758136;0.048019643429646486;-0.0943143125631476
H;23.3;0.2807097490246413;-0.5368355665926323;-0.022045650075926737;0.09593075076471447;0.5227821197855205;-0.17562270330130314;0.04239325644544589;-0.09827886012321585
H;23.4;0.2828702881875902;-0.5432848898451059;-0.023365269111792486;0.09756199379961039;0.522523179934339;-0.1763195513868867;0.03690127425864009;-0.10301798257067585
H;23.5;0.2850024589896698;-0.5501816611679464;-0.02483445172331411;0.09891397590936535;0.5217570474987454;-0.17747469363448687;0.03151461971445091;-0.10828211130604348
H;23.6;0.2871318517888284;-0.5574657408315433;-0.026413871671460143;0.10003177678405262;0.5205850540145684;-0.17902113153601018;0.02627989877513759;-0.113987049113903
H;23.7;0.2893082479121176;-0.5651150302391006;-0.02805413577435001;0.10093909951655178;0.5190984874061506;-0.18093086341751707;0.02124531058700274;-0.12009735776596742
H;23.8;0.29153105930015144;-0.5730111526892321;-0.02972194238326331;0.10171856536383928;0.5174333007667018;-0.1830722855044753;0.01645993175914562;-0.12645080107885587
H;23.9;0.29381407703345985;-0.5810469718728095;-0.031375260752926515;0.10244976754271651;0.5157348641080137;-0.1853228818527839;0.011975865992115864;-0.13289814261913868
H;24.0;0.29598086011678504;-0.5890961419947054;-0.033115482644823224;0.10313942532790676;0.5138794681945722;-0.18760028969084352;0.007752156687471867;-0.13931371501224987
H;24.1;0.29777608514704745;-0.5969973089136857;-0.03509748328383555;0.10378754468736329;0.5116636310617304;-0.18980522950208556;0.003716710796133782;-0.14554189581856747
H;24.2;0.29910577794986537;-0.6046998077014463;-0.03737687808446921;0.10437437778752123;0.5089975033076488;-0.191923377200518;-0.0001564507323115194;-0.15154817747799854
H;24.3;0.29986034190003963;-0.6121557668047961;-0.04002182156356948;0.10487064486163078;0.5057651554236928;-0.19394870331022762;-0.003902994102375601;-0.1573063928691143
H;24.4;0.2998356582018804;-0.6191767058451054;-0.0431428472248685;0.10532501729920973;0.5018679354486544;-0.19573209195117514;-0.007564313835712433;-0.16260750837689297
H;24.5;0.298882664264843;-0.6255893951287188;-0.04681224591119992;0.1057992584295917;0.49727042120669207;-0.1971260781733788;-0.011160889391227613;-0.16725107268925576
H;24.6;0.29673862540474616;-0.6311908063240503;-0.05118035432667334;0.1063276742383481;0.49181162682916746;-0.19797957371368735;-0.014759347126183542;-0.17102106066891398
H;24.7;0.29316552900457005;-0.63578706894618;-0.05638165432867748;0.10694902521684213;0.48535297832536806;-0.19814584855048434;-0.01841890474637431;-0.1737089017669904
H;24.8;0.28830395339070414;-0.6394393643636205;-0.06231898200277097;0.1076594274856486;0.47802208865014517;-0.19767517899777154;-0.02209332228952121;-0.1753863501418529
H;24.9;0.28238604209062146;-0.642288273230216;-0.06884125150052967;0.1084296787931871;0.4699981458139426;-0.19668501497443724;-0.025715568038761738;-0.1762182309792708
H;25.0;0.2756480531992107;-0.6444223087735761;-0.0757894650593336;0.10927993187920215;0.46149779012627423;-0.19523432486222614;-0.029206749996839143;-0.1762931318821419
H;25.1;0.26838031136478335;-0.6459659618914051;-0.08297158613235478;0.11022510601406132;0.4527766250615288;-0.19340923179544234;-0.03247370205102751;-0.17573886437190733
H;25.2;0.2606670744586328;-0.646993564675423;-0.09032982051032423;0.11122608651319421;0.44389088116704656;-0.19128446876636396;-0.035500022585373436;-0.17465685643143658
H;25.3;0.252539830602883;-0.6475443198312911;-0.09783912823779861;0.11225081347617216;0.4348571883825221;-0.1889075535285052;-0.038285156131601106;-0.17310933918101856
H;25.4;0.24416419187120475;-0.6477565862011652;-0.10539357211291733;0.11324280016952404;0.42578534700974835;-0.18640470020406497;-0.04079435927212849;-0.17127156205193383
H;25.5;0.2356912512535292;-0.6477651371341029;-0.11289670284533404;0.11414292894870748;0.41677087502514887;-0.18390062184647338;-0.042998781277776565;-0.16931606505678598
H;25.6;0.2272850587573405;-0.6475907072441727;-0.12023473995864187;0.11500354329269236;0.4079804480930056;-0.18139465558712242;-0.044841962438010974;-0.16724728839654812
H;25.7;0.21915172815704054;-0.6472431850455909;-0.12726569101913388;0.11590733585648927;0.3996322175776408;-0.17886552304696846;-0.046249228831505285;-0.1650448646561209
H;25.8;0.21135376987490595;-0.646701899015488;-0.13393921811736398;0.11689795285576476;0.3918062339063404;-0.1762864731475542;-0.0471975003978784;-0.16267342811713714
H;25.9;0.2039490880965804;-0.645932402230379;-0.14020739895779766;0.118030596132634;0.3845835650559435;-0.17361624376838147;-0.0476635057507675;-0.16007791379944525
H;26.0;0.19717872002078707;-0.645015996516733;-0.14591233724549735;0.11933912361483667;0.3781882960424463;-0.1709009839243789;-0.04757624304141661;-0.15733383911230892
