Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch8_HbO;Ch8_HbR
C;34.6;0.3600937278195473;0.11355978089402807;0.7342739247314967;0.24674165160602524;-0.4504607832960321;-0.08322088607289402;0.06914413631076499;-0.05104254665143948;-0.029500592806851245;-0.07461211397825807;-0.10792245979415949;0.044232058900081306;-0.020204488241233776;-0.2517330988158335
C;34.7;0.3369741844460359;0.0998919261677349;0.7171800118916245;0.24250074712825587;-0.4433322976113292;-0.0830848891762086;0.0745094380141893;-0.04978421856308657;-0.0405617673538341;-0.08048216321531854;-0.1021274051179879;0.044062073660000145;-0.10617185942685126;-0.3180900679804317
C;34.8;0.31392233382625534;0.08618659561008535;0.6996716414546658;0.23818827275790344;-0.43657100040489283;-0.08298720316589936;0.07875639113214916;-0.048792799578343704;-0.05150943227828897;-0.0861825496656774;-0.09720180892329999;0.04366883735492255;-0.1899425096385059;-0.38199371875237986
C;34.9;0.2915583270990174;0.07309620021127827;0.6820074862001473;0.23389558652376152;-0.43057114413910114;-0.08300357872810205;0.08132440941349373;-0.04820694944608128;-0.06183466000222815;-0.0914471519125879;-0.09352506921627857;0.0429538870433972;-0.2680897151196433;-0.440616635078964
C;35.0;0.2700809765342229;0.06081496505085937;0.664272275294671;0.2296706027713178;-0.4254783958349133;-0.08316308534625527;0.08200887871444706;-0.04807870798041236;-0.07137034822161858;-0.09618582175449575;-0.09125645976035646;0.04187513456988379;-0.3393489121003661;-0.492899858153546
C;35.1;0.24967608511991113;0.049542878437366156;0.6465270703111532;0.22556022437723033;-0.4214540335924468;-0.08349959645979688;0.08055166751751486;-0.0484756221364151;-0.07994191188421418;-0.10030135776922044;-0.0906014526098895;0.04037677206724943;-0.402340691778619;-0.5376658582980234
C;35.2;0.23106502612144642;0.039964356449624816;0.6291527774724521;0.22165771167755555;-0.418838544852985;-0.08406942092724501;0.07659914907776866;-0.04947518212116009;-0.08703998475333563;-0.10354287841466636;-0.09174974776820344;0.038419142069216594;-0.4539710855846373;-0.5724820702273021
C;35.3;0.21490884745370575;0.032668187218161115;0.6125349340968711;0.21804703799449676;-0.41789514432075947;-0.08491103947556322;0.06995627344217681;-0.05111244444994867;-0.09223439174594006;-0.10570582695647346;-0.0947700689237636;0.03599750614971775;-0.4917662800509035;-0.5954700085949618
C;35.4;0.20199376640644084;0.028449631540255815;0.5970558359606724;0.21483302515172298;-0.41904362751303736;-0.08610028010757409;0.06011779601914213;-0.05350754512045164;-0.0949256990102203;-0.10649043389816448;-0.09996262082850604;0.03303544914652079;-0.5119865548020002;-0.603624580995298
C;35.5;0.19306064857738958;0.02804779861045059;0.5830815450828695;0.21210987758161792;-0.42266365793561533;-0.08770370340931022;0.046635685244609704;-0.05676535430841234;-0.09456165618439982;-0.1056215462468959;-0.1075877717821423;0.02947030384871896;-0.5112145869559299;-0.5942185396369162
