Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR
D_postura;9.4;0.5474343522592579;-0.16934654356841397;0.45113608290818696;-0.16529793771361154;0.4683852345626214;-0.033312409673095456
D_postura;9.5;0.5530278471310422;-0.17521936890745518;0.4558291538413594;-0.1708389774769128;0.4775870766253239;-0.035473411792796096
D_postura;9.6;0.5578349586746008;-0.18116813307769752;0.45964122167110527;-0.17662861339552624;0.4866318562392647;-0.037561086349320615
D_postura;9.7;0.5618080871144109;-0.18721816861949714;0.4625104383911219;-0.18268247770545099;0.49559679780842697;-0.03952902890061708
D_postura;9.8;0.5649171532766294;-0.1934197984039936;0.46440472149873396;-0.18900988600859528;0.5046546638212561;-0.04131311673464699
D_postura;9.9;0.5671442874735853;-0.19981892943738777;0.46529458853289835;-0.1956200073986445;0.5139492444188912;-0.04286553344369759
D_postura;10.0;0.5684807712495825;-0.20639548492910312;0.4652549436445579;-0.20246828048420942;0.5235757293727966;-0.04412524672766353
D_postura;10.1;0.5689493150260473;-0.21309147284213892;0.46442828006886633;-0.20947063377206035;0.533570825088276;-0.04504905929729549
D_postura;10.2;0.5686154712631021;-0.21981633184686786;0.46291907144810257;-0.21654394376751554;0.5437538578879817;-0.04568827053366098
D_postura;10.3;0.5675710629392725;-0.22644571491633378;0.46086235163848066;-0.2235769279465658;0.5538594863992247;-0.04612197359944551
D_postura;10.4;0.5659640966071559;-0.23283463896864842;0.4584956069890526;-0.23040022999693907;0.5636166998032633;-0.046445025566950925
D_postura;10.5;0.5639434780260769;-0.23884983656743097;0.45603059737137325;-0.2368568941078101;0.5727496313002428;-0.046760347424678717
D_postura;10.6;0.5616310343323256;-0.24434542579261845;0.45369953163993176;-0.24276915873997815;0.5810573697379778;-0.047114605898108675
D_postura;10.7;0.5591290622888572;-0.2492019725736235;0.4517079938839868;-0.24798366145518447;0.5884002884793501;-0.047533988694243114
D_postura;10.8;0.5564431519617609;-0.2534184522790555;0.44998904757056774;-0.252516156410689;0.5947153739591743;-0.04803559834603529
D_postura;10.9;0.5535473175807084;-0.25703241326245946;0.44840743990443954;-0.25643450567519355;0.5999938865875869;-0.04862131502317387
D_postura;11.0;0.5504338191039461;-0.2601129058727718;0.44686867202566205;-0.2598238423227002;0.6042759518899589;-0.04930475285055976
D_postura;11.1;0.5470962043946402;-0.26274695318131336;0.4452623329271936;-0.2627945081899428;0.6076060223327069;-0.05011067553445958
D_postura;11.2;0.5435702478615454;-0.26495032967179927;0.4436192989270354;-0.2653725346409854;0.6100087747637204;-0.051049373235127295
D_postura;11.3;0.5399110922187033;-0.26672181767477815;0.4420168339294636;-0.2675598896195783;0.6114927173125295;-0.052137782625724625
D_postura;11.4;0.5361780321934203;-0.2680607723491311;0.44045926812216923;-0.26938763984503694;0.6119670417425134;-0.053436217069123014
D_postura;11.5;0.5324279572587555;-0.2689604569064896;0.43894664658092886;-0.27087932929920217;0.6113421314931671;-0.05499840234408504
D_postura;11.6;0.5287051136550668;-0.2694471442570507;0.43746098038990944;-0.272068035342305;0.6095607781105782;-0.0568787189768436
D_postura;11.7;0.5250281177617199;-0.26957511738958057;0.43592737649626895;-0.2730113868593577;0.6066100863221399;-0.0591156003924073
D_postura;11.8;0.5213762505804205;-0.26939728818822356;0.4342889864360675;-0.27374382697479005;0.6026421845798507;-0.061654203968637265
