Condicao;Trial;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;1;10.6;0.7834659205141845;0.03845330665627689;0.4351477133592274;0.11104246465086565;-0.060795804613878346;0.03207284516914477;-0.2577726270022085;-0.11513372299865132;-0.023938026625630826;0.12312952576706149;-0.3483369378112098;-0.12780138894496318;-0.13130515887374994;0.10976462381819418;-0.3933644396491811;0.09771695847564255
A;1;10.7;0.7872863065720486;0.038010022220329454;0.43997062300650835;0.11113614187708487;-0.056480900844512405;0.03198310186076814;-0.2587193785537023;-0.11447133660918762;-0.020532801158754665;0.12374589751168052;-0.34558186588386786;-0.12679133532843512;-0.12652445350203578;0.1084290555207259;-0.387270008667957;0.09696638123237333
A;1;10.8;0.7905534876144928;0.03731230601959057;0.44440662908101913;0.11128354676725571;-0.052341252650952796;0.03176321155962025;-0.25958863276686905;-0.1138017723547522;-0.01755792436839343;0.12411890045681684;-0.34308062322850397;-0.1258043236462436;-0.12166421164714514;0.10693501762596958;-0.3812270720046902;0.09614329982088599
A;1;10.9;0.7932460370556633;0.036347679376644404;0.4483672193023587;0.11150020807235261;-0.0484078315478218;0.03141232090754009;-0.2603533322061393;-0.11314236773563291;-0.01504040255246153;0.12423811696481035;-0.34085821494817736;-0.12485054315949995;-0.11678091264212309;0.10525812059930884;-0.3753186878705437;0.09523093198127697
A;1;11.0;0.7952523752340319;0.03507278432610095;0.4517453196702057;0.1118405096483488;-0.044707521265472394;0.030935146228043386;-0.2609675657693966;-0.11250456076512894;-0.013036437519083677;0.12408099795151628;-0.3389406116452758;-0.12393251544912864;-0.11196704559925585;0.10336116804488649;-0.36965849106871396;0.09418043321113334
A;1;11.1;0.7964852607543289;0.033451657796252476;0.4544426969016895;0.11234981066123018;-0.041265999748489435;0.030335665416688862;-0.2613893281626076;-0.11190151711924301;-0.011594176294853042;0.12362781147942581;-0.3373549569822556;-0.12305574694151833;-0.10730270925632368;0.10121058885627399;-0.36434931568900986;0.09295126726155578
A;1;11.2;0.7969984351916075;0.031513378890990484;0.45651828294383456;0.11301197719311729;-0.038079645191594125;0.02961435453097927;-0.2615881315962829;-0.11131758117115975;-0.010668108628697937;0.12289977727555801;-0.3360618089862948;-0.12221178954990464;-0.10274817307667305;0.09884105530139564;-0.35933934049789684;0.09158688873434828
A;1;11.3;0.7968524217815274;0.029296704267947504;0.4580753126009247;0.11380632642957389;-0.03513448696758381;0.0287731416229704;-0.2615316222645996;-0.11072379171382707;-0.010192254171604631;0.12192856811045605;-0.33499497917783483;-0.12138223608086474;-0.0982455092395984;0.09630490132225678;-0.35454111940630995;0.09014398077229702
A;1;11.4;0.7962139364134435;0.026862707265269403;0.4592050724644281;0.11467388515016719;-0.03242387722760398;0.027807356502330016;-0.2612086480785525;-0.11011556724865112;-0.010090494614017231;0.12074447256050558;-0.3341301240186114;-0.12057547476632369;-0.09369444711532537;0.0936503874565564;-0.34985559596899396;0.08870395712661727
A;1;11.5;0.7952709324749554;0.024282115389142156;0.4600210552193804;0.11554678573846422;-0.029936716350761117;0.026712127796981733;-0.26061035201956084;-0.1094845407817413;-0.010272629095544161;0.11938403436924006;-0.3334330819521423;-0.11979806619969136;-0.08897864385399856;0.0909352547481328;-0.345162675416927;0.08735976319746186
A;1;11.6;0.7939708981875091;0.021555410587267954;0.4605720733401757;0.11644971517986358;-0.027665687685123785;0.025496256783696047;-0.2596954281701205;-0.10880165929441077;-0.010714884910033362;0.11786480798766519;-0.33284156735834625;-0.11902375738098758;-0.0841209437134669;0.08818428037210024;-0.3404491040317428;0.0861156910442804
A;1;11.7;0.7922494202479964;0.018674934273393617;0.4608869459429279;0.11741341075924705;-0.025606760681736063;0.02416911117106668;-0.2584245437787338;-0.10804412816356113;-0.011406322444207362;0.1161982884402466;-0.3323072034339587;-0.11823103992508877;-0.07915796283642162;0.0854119120194774;-0.3357217384850939;0.08496472907660468
A;1;11.8;0.790064738957275;0.015652294503936126;0.4610503433237154;0.11845732848841095;-0.023743544886389856;0.022740658850381124;-0.25675336936900006;-0.10717121258447726;-0.012301599596089119;0.11441270875705811;-0.33174108877165853;-0.11738415286807236;-0.07409540530516256;0.08265932847468349;-0.3309371854151344;0.08392472808992091
A;1;11.9;0.7873616627062985;0.012494455216800482;0.4611422675827219;0.11960614690855653;-0.022059850689938543;0.021221969700509824;-0.2546382856102527;-0.10614220059858859;-0.013360362383581403;0.11253482152004501;-0.33105485674310575;-0.11644650991824079;-0.06894938635024683;0.07996430274577593;-0.32606058435322893;0.08300649069622024
A;1;12.0;0.7843586692485829;0.009263799422894348;0.4612290944813964;0.12078609490411463;-0.020552509174500244;0.0196067970773397;-0.25208900791987165;-0.10497737718880185;-0.01451785088231361;0.11058516599669765;-0.3302735296552459;-0.1154521534609314;-0.06360859535106922;0.07735781444873968;-0.32100882564490796;0.08228840307777041
A;1;12.1;0.7813705475513375;0.006047144987370245;0.4613880745811496;0.12188826723563695;-0.019218649322267467;0.017883394203420444;-0.249129303373123;-0.10371118007161684;-0.015689862181538672;0.10858762614653905;-0.3294453852932202;-0.11445323244729533;-0.05790991270132828;0.07487715472221756;-0.3156681794215208;0.08187911467192421
A;1;12.2;0.7785321588033502;0.0028777948382572305;0.4616460607413284;0.12287066226941512;-0.018061243240893532;0.01605034436204633;-0.24576858862769324;-0.10236497327506733;-0.01684567041405849;0.10655170300096817;-0.328601462509595;-0.1134790294013337;-0.0518056890741283;0.07253121867065904;-0.31001174749843496;0.08181589450281823
A;1;12.3;0.77600563556806;-0.00020632122119002005;0.4620266106962223;0.12368148602023066;-0.017084354315450412;0.01410473235339893;-0.24202431173994032;-0.10096765928867502;-0.01795389566266614;0.10448545016452204;-0.3277871427436878;-0.11256716025829672;-0.04523724507367444;0.07032639012249176;-0.3040107118117854;0.08214055265515263
A;1;12.4;0.7740049404678855;-0.0031318193984066767;0.4626267355808311;0.1242483738148712;-0.016274047376111156;0.012042370110735945;-0.2378941412402078;-0.09952228635332183;-0.01892399026403524;0.10242271800445923;-0.3269856070170949;-0.11173434925650305;-0.038081349995843006;0.06831279138622204;-0.2975562774906946;0.08294378911116107
A;1;12.5;0.7726645672243384;-0.005842881433212543;0.4635382442717315;0.12452790776995659;-0.015614371410329397;0.009864123934590019;-0.23336300450252878;-0.09801738887833178;-0.019676033429433915;0.10039758974418422;-0.3261522022425112;-0.11097892621760685;-0.0302574987524018;0.06653838483217989;-0.2905623273490079;0.08429287350391768
A;1;12.6;0.7722943947654493;-0.008246245439765598;0.46486554742100505;0.12441194079605644;-0.015091166217972685;0.007560650626785126;-0.22845372807838693;-0.09647576940081537;-0.02010920596948651;0.09844275630934263;-0.325308629125856;-0.11034192323607339;-0.021593626263615384;0.06505287851056396;-0.28289650446251713;0.08630133209433843
A;1;12.7;0.7731654893348416;-0.010256969460406662;0.4667067539018248;0.1238066015563204;-0.014689506469951041;0.005124981387623961;-0.22318262288185586;-0.09491354723737233;-0.020127802003768736;0.09659097441218645;-0.32446277327803497;-0.10985521702997847;-0.011939079317778045;0.06390435738785216;-0.27444019129639585;0.08907086635865413
A;1;12.8;0.775106648023911;-0.01191911618724495;0.4690377043897387;0.12278159063543903;-0.014411146354769144;0.002574894363428726;-0.21752694488559499;-0.09331171833504026;-0.019763623059484203;0.09484226723659539;-0.32357181998473283;-0.10949088857151601;-0.0014288963948549949;0.06307434531930856;-0.26528501331504906;0.0925314093444709
A;1;12.9;0.7778630413328038;-0.013307439286666778;0.4717981103065414;0.12143702325727279;-0.014263510916016742;-6.715856499628359e-05;-0.21146917734992332;-0.09165366499560434;-0.01908615409586112;0.0931839193676316;-0.32260499633936934;-0.10921857238566357;0.009739495830112688;0.06252088722445981;-0.25557753227761904;0.09657007709850429
A;1;13.0;0.781098666275919;-0.014498497674439559;0.4749409554620341;0.11990372468028365;-0.01424534932189303;-0.002773916371489271;-0.20494940626234825;-0.08988772236633746;-0.018143085622057242;0.09161869913474607;-0.3214513258422915;-0.10896747068866919;0.021345863387815633;0.062224062259443436;-0.24546013608260164;0.10107327310853709
A;1;13.1;0.7844143002749862;-0.01558726033918223;0.4784019955266956;0.11833580897176788;-0.014357280499929459;-0.005514503773826007;-0.19790322010045536;-0.08795723200588679;-0.017000272960650875;0.09014476013572281;-0.3199924264434264;-0.10865807982053255;0.033129018466644844;0.06215430985683135;-0.23510518158202665;0.10590234435127988
A;1;13.2;0.7877811945931086;-0.01659531324852681;0.48215836292491954;0.11674768946063407;-0.014600506433030347;-0.00827883136045049;-0.19036450842363983;-0.08588232008867003;-0.015690078001066254;0.08875251038491871;-0.3182689847468012;-0.1083090247814189;0.04502276636955482;0.06228096065886657;-0.22458317946857864;0.11100910801499353
A;1;13.3;0.7912314422804743;-0.017525595169315178;0.4862018599519873;0.11513087679246992;-0.014972354871190419;-0.011060230245051983;-0.18237387819017137;-0.08368772352721265;-0.014226276939801608;0.08743714423351001;-0.31632746016936863;-0.10794642750839856;0.05700242863965155;0.0625827242033381;-0.2139372726862936;0.11636872778796015
A;1;13.4;0.7946530929972493;-0.018428685330647898;0.49048243367673106;0.11353092842491375;-0.01547983363940908;-0.013843948386275784;-0.17396463846295074;-0.08139219311119872;-0.012674034445669946;0.08617900866639427;-0.3142115843010611;-0.10758266580775722;0.06893979662783067;0.06300983704456398;-0.20328250056049768;0.12189446251773983
A;1;13.5;0.7979610738757614;-0.019349331711821627;0.49495214944730836;0.11198283071262072;-0.01612869881435053;-0.01661675651614747;-0.16517873768060642;-0.07901994526010903;-0.011095562344188181;0.08495797053831389;-0.3119761924974247;-0.10723686786563036;0.08072267344872408;0.06351256553726214;-0.1927271599760889;0.12750581847864462
A;1;13.6;0.8008664479302343;-0.020337914063427665;0.4995819377533488;0.11059905173910112;-0.01690525101175311;-0.019354192691795724;-0.1559504457561669;-0.07651043630570298;-0.009502365281750969;0.0837901555906857;-0.3094811717781889;-0.10682905327045589;0.09218146705022967;0.06409286530873848;-0.18237918920473195;0.13311909031261138
A;1;13.7;0.8029693957737987;-0.02146122898905478;0.5043386886230303;0.10953451798219538;-0.017793189508136464;-0.0220256760958506;-0.1461742375368562;-0.07377267153295675;-0.007904250532163815;0.08269959256421355;-0.30651958852901995;-0.10624166810083846;0.10309479344581884;0.06476181944655046;-0.1723651098347494;0.13863167423046496
A;1;13.8;0.8041474921776146;-0.02273065391774942;0.5092171305989197;0.10883722099125759;-0.018772494332420564;-0.024616094869974958;-0.13582632869920275;-0.07077453392508204;-0.0062870785936475215;0.08170330627786537;-0.3030082467286288;-0.10543240236991913;0.1133942731794928;0.06552837397916944;-0.1627406940893108;0.1440062070912278
A;1;13.9;0.8042666039836739;-0.024155719152413102;0.514214457456295;0.10855947566680735;-0.019820202813491505;-0.02710987333588122;-0.12487445782026008;-0.0674765918658804;-0.0046299001672416296;0.0808220458440223;-0.2988465824811817;-0.10435034691481349;0.12301254986273147;0.06640736310302842;-0.15355837934130445;0.149207676928659
A;1;14.0;0.802956229033934;-0.025818687820676534;0.5192826259993524;0.10884627029498883;-0.020933179049619;-0.02947828350862114;-0.1132484033065948;-0.06381739675307019;-0.002979952618225923;0.08006110345957218;-0.2938992815983026;-0.10290987860014855;0.13171017675974106;0.06738103722444855;-0.14495970649316092;0.15411485666926472
A;1;14.1;0.7999208084904268;-0.027794528780337835;0.5243749271538114;0.10981400424288923;-0.022112070288192953;-0.03169681547408931;-0.1009099435725247;-0.05975986593239613;-0.0013924205213431406;0.07941736503168784;-0.28808589858797173;-0.10105458157364211;0.1392770377538861;0.06842075441842166;-0.13707546223018507;0.1586149359908715
A;1;14.2;0.7947128737027933;-0.030172285911373553;0.5294370213239361;0.1116364508991774;-0.023347202388050547;-0.033733219172500384;-0.08775854055045151;-0.05521755246169624;9.312684369255919e-05;0.07890381166900529;-0.28121498993290217;-0.09866761441629102;0.14544976610161697;0.06951989792909741;-0.1300582268731132;0.16257776044832983
A;1;14.3;0.7869238274407726;-0.03303660800934338;0.5344190330784935;0.11447313393939629;-0.024631142028713526;-0.035557568898655134;-0.07370693121572369;-0.050114879788536904;0.0014349431607207919;0.07853010522272186;-0.27311951663000933;-0.09564542478707949;0.14998053584077908;0.0706682305576134;-0.12404975923744033;0.1658796948228125
A;1;14.4;0.7768016939895572;-0.03634263630150958;0.5393394154315887;0.11822970967744695;-0.02594871114528985;-0.03717612666033965;-0.0588642531264858;-0.0445173525465119;0.0026454857123265896;0.07828834411786278;-0.2639305284015263;-0.0920654942422443;0.15298098948580652;0.07184858353145263;-0.11902603958669822;0.1685497626289063
